Geo_Code,Prov_Name,Topic,Characteristic,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
1,Canada,Population and dwelling counts,Population in 2006,1,31612897,+,,,,
1,Canada,Population and dwelling counts,Population in 2001,1,30007094,+,,,,
1,Canada,Population and dwelling counts,2001 to 2006 population change (%),,5.4,,,,,
1,Canada,Population and dwelling counts,Total private dwellings,2,13576855,,,,,
1,Canada,Population and dwelling counts,Private dwellings occupied by usual residents,3,12435520,,,,,
1,Canada,Population and dwelling counts,Population density per square kilometre,,3.5,,,,,
1,Canada,Population and dwelling counts,Land area (square km),,9017698.92,,,,,
1,Canada,Age characteristics,Total population,4,31612895,,15475970,,16136930,
1,Canada,Age characteristics,   0 to 4 years,,1690540,,864600,,825940,
1,Canada,Age characteristics,   5 to 9 years,,1809370,,926860,,882515,
1,Canada,Age characteristics,   10 to 14 years,,2079925,,1065865,,1014065,
1,Canada,Age characteristics,   15 to 19 years,,2140490,,1095285,,1045210,
1,Canada,Age characteristics,   20 to 24 years,,2080385,,1047950,,1032435,
1,Canada,Age characteristics,   25 to 29 years,,1985580,,975945,,1009640,
1,Canada,Age characteristics,   30 to 34 years,,2020230,,987715,,1032515,
1,Canada,Age characteristics,   35 to 39 years,,2208270,,1083500,,1124775,
1,Canada,Age characteristics,   40 to 44 years,,2610455,,1285530,,1324925,
1,Canada,Age characteristics,   45 to 49 years,,2620595,,1290130,,1330470,
1,Canada,Age characteristics,   50 to 54 years,,2357305,,1158970,,1198335,
1,Canada,Age characteristics,   55 to 59 years,,2084620,,1026390,,1058225,
1,Canada,Age characteristics,   60 to 64 years,,1589865,,780135,,809730,
1,Canada,Age characteristics,   65 to 69 years,,1234575,,593805,,640770,
1,Canada,Age characteristics,   70 to 74 years,,1053785,,493465,,560325,
1,Canada,Age characteristics,   75 to 79 years,,879580,,386485,,493095,
1,Canada,Age characteristics,   80 to 84 years,,646705,,251420,,395285,
1,Canada,Age characteristics,   85 years and over,,520605,,161920,,358680,
1,Canada,Age characteristics,Median age of the population,5,39.5,,38.6,,40.4,
1,Canada,Age characteristics,% of the population aged 15 and over,,82.3,,81.5,,83.1,
1,Canada,Common-law status characteristics,Total population 15 years and over,6,26033060,,12618645,,13414410,
1,Canada,Common-law status characteristics,   Not in a common-law relationship,,23301420,,11248590,,12052835,
1,Canada,Common-law status characteristics,   In a common-law relationship,,2731635,,1370060,,1361575,
1,Canada,Legal marital status characteristics,Total population 15 years and over,7,26033060,,12618645,,13414410,
1,Canada,Legal marital status characteristics,   Never legally married (single),8,9087030,,4822330,,4264700,
1,Canada,Legal marital status characteristics,   Legally married (and not separated),9,12470400,,6235735,,6234665,
1,Canada,Legal marital status characteristics,"   Separated, but still legally married",10,775425,,343600,,431825,
1,Canada,Legal marital status characteristics,   Divorced,11,2087385,,905790,,1181595,
1,Canada,Legal marital status characteristics,   Widowed,12,1612820,,311190,,1301630,
1,Canada,Occupied private dwelling characteristics,Total private dwellings occupied by usual residents,13,12437470,,,,,
1,Canada,Occupied private dwelling characteristics,   Single-detached houses - as a % of total occupied private dwellings,,55.3,,,,,
1,Canada,Occupied private dwelling characteristics,   Semi-detached houses - as a % of total occupied private dwellings,,4.8,,,,,
1,Canada,Occupied private dwelling characteristics,   Row houses - as a % of total occupied private dwellings,,5.6,,,,,
1,Canada,Occupied private dwelling characteristics,"   Apartments, duplex - as a % of total occupied private dwellings",14,5.3,,,,,
1,Canada,Occupied private dwelling characteristics,   Apartments in buildings with fewer than five storeys - as a % of total occupied private dwellings,14,18.4,,,,,
